Attack Type,Year,Month,Amount,Date
Bombing/Explosion,2013,1,453,01/01/13
Bombing/Explosion,2013,2,391,02/01/13
Bombing/Explosion,2013,3,428,03/01/13
Bombing/Explosion,2013,4,538,04/01/13
Bombing/Explosion,2013,5,622,05/01/13
Bombing/Explosion,2013,6,468,06/01/13
Bombing/Explosion,2013,7,659,07/01/13
Bombing/Explosion,2013,8,576,08/01/13
Bombing/Explosion,2013,9,509,09/01/13
Bombing/Explosion,2013,10,689,10/01/13
Bombing/Explosion,2013,11,691,11/01/13
Bombing/Explosion,2013,12,661,12/01/13
Bombing/Explosion,2014,1,706,01/01/14
Bombing/Explosion,2014,2,781,02/01/14
Bombing/Explosion,2014,3,844,03/01/14
Bombing/Explosion,2014,4,744,04/01/14
Bombing/Explosion,2014,5,926,05/01/14
Bombing/Explosion,2014,6,672,06/01/14
Bombing/Explosion,2014,7,901,07/01/14
Bombing/Explosion,2014,8,681,08/01/14
Bombing/Explosion,2014,9,610,09/01/14
Bombing/Explosion,2014,10,664,10/01/14
Bombing/Explosion,2014,11,665,11/01/14
Bombing/Explosion,2014,12,605,12/01/14
Bombing/Explosion,2015,1,828,01/01/15
Bombing/Explosion,2015,2,754,02/01/15
Bombing/Explosion,2015,3,644,03/01/15
Bombing/Explosion,2015,4,639,04/01/15
Bombing/Explosion,2015,5,625,05/01/15
Bombing/Explosion,2015,6,592,06/01/15
Bombing/Explosion,2015,7,661,07/01/15
Bombing/Explosion,2015,8,638,08/01/15
Bombing/Explosion,2015,9,517,09/01/15
Bombing/Explosion,2015,10,629,10/01/15
Bombing/Explosion,2015,11,567,11/01/15
Bombing/Explosion,2015,12,568,12/01/15
Bombing/Explosion,2016,1,597,01/01/16
Bombing/Explosion,2016,2,609,02/01/16
Bombing/Explosion,2016,3,582,03/01/16
Bombing/Explosion,2016,4,579,04/01/16
Bombing/Explosion,2016,5,760,05/01/16
Bombing/Explosion,2016,6,563,06/01/16
Bombing/Explosion,2016,7,576,07/01/16
Bombing/Explosion,2016,8,658,08/01/16
Bombing/Explosion,2016,9,604,09/01/16
Bombing/Explosion,2016,10,547,10/01/16
Bombing/Explosion,2016,11,557,11/01/16
Bombing/Explosion,2016,12,476,12/01/16
Bombing/Explosion,2017,1,400,01/01/17
Bombing/Explosion,2017,2,455,02/01/17
Bombing/Explosion,2017,3,441,03/01/17
Bombing/Explosion,2017,4,435,04/01/17
Bombing/Explosion,2017,5,498,05/01/17
Bombing/Explosion,2017,6,485,06/01/17
Bombing/Explosion,2017,7,401,07/01/17
Bombing/Explosion,2017,8,466,08/01/17
Bombing/Explosion,2017,9,393,09/01/17
Bombing/Explosion,2017,10,321,10/01/17
Bombing/Explosion,2017,11,389,11/01/17
Bombing/Explosion,2017,12,340,12/01/17
Facility/Infrastructure Attack,1997,1,8,01/01/97
Facility/Infrastructure Attack,1997,2,10,02/01/97
Facility/Infrastructure Attack,1997,3,8,03/01/97
Facility/Infrastructure Attack,1997,4,11,04/01/97
Facility/Infrastructure Attack,1997,5,17,05/01/97
Facility/Infrastructure Attack,1997,6,6,06/01/97
Facility/Infrastructure Attack,1997,7,11,07/01/97
Facility/Infrastructure Attack,1997,8,10,08/01/97
Facility/Infrastructure Attack,1997,9,3,09/01/97
Facility/Infrastructure Attack,1997,10,37,10/01/97
Facility/Infrastructure Attack,1997,11,6,11/01/97
Facility/Infrastructure Attack,1997,12,10,12/01/97
Facility/Infrastructure Attack,1998,1,6,01/01/98
Facility/Infrastructure Attack,1998,2,3,02/01/98
Facility/Infrastructure Attack,1998,3,3,03/01/98
Facility/Infrastructure Attack,1998,4,3,04/01/98
Facility/Infrastructure Attack,1998,5,2,05/01/98
Facility/Infrastructure Attack,1998,6,3,06/01/98
Facility/Infrastructure Attack,1998,7,16,07/01/98
Facility/Infrastructure Attack,1998,8,7,08/01/98
Facility/Infrastructure Attack,1998,9,6,09/01/98
Facility/Infrastructure Attack,1998,10,5,10/01/98
Facility/Infrastructure Attack,1998,11,3,11/01/98
Facility/Infrastructure Attack,1998,12,1,12/01/98
Facility/Infrastructure Attack,1999,1,2,01/01/99
Facility/Infrastructure Attack,1999,2,1,02/01/99
Facility/Infrastructure Attack,1999,3,12,03/01/99
Facility/Infrastructure Attack,1999,4,7,04/01/99
Facility/Infrastructure Attack,1999,5,9,05/01/99
Facility/Infrastructure Attack,1999,6,10,06/01/99
Facility/Infrastructure Attack,1999,7,19,07/01/99
Facility/Infrastructure Attack,1999,8,5,08/01/99
Facility/Infrastructure Attack,1999,9,5,09/01/99
Facility/Infrastructure Attack,1999,10,25,10/01/99
Facility/Infrastructure Attack,1999,11,15,11/01/99
Facility/Infrastructure Attack,1999,12,4,12/01/99
Facility/Infrastructure Attack,2000,1,10,01/01/00
Facility/Infrastructure Attack,2000,2,10,02/01/00
Facility/Infrastructure Attack,2000,3,6,03/01/00
Facility/Infrastructure Attack,2000,4,2,04/01/00
Facility/Infrastructure Attack,2000,5,6,05/01/00
Facility/Infrastructure Attack,2000,6,6,06/01/00
Facility/Infrastructure Attack,2000,7,9,07/01/00
Facility/Infrastructure Attack,2000,8,9,08/01/00
Facility/Infrastructure Attack,2000,9,15,09/01/00
Facility/Infrastructure Attack,2000,10,12,10/01/00
Facility/Infrastructure Attack,2000,11,13,11/01/00
Facility/Infrastructure Attack,2000,12,13,12/01/00
Facility/Infrastructure Attack,2001,1,10,01/01/01
Facility/Infrastructure Attack,2001,2,6,02/01/01
Facility/Infrastructure Attack,2001,3,7,03/01/01
Facility/Infrastructure Attack,2001,4,9,04/01/01
Facility/Infrastructure Attack,2001,5,6,05/01/01
Facility/Infrastructure Attack,2001,6,3,06/01/01
Facility/Infrastructure Attack,2001,7,2,07/01/01
Facility/Infrastructure Attack,2001,8,85,08/01/01
Facility/Infrastructure Attack,2001,9,11,09/01/01
Facility/Infrastructure Attack,2001,10,2,10/01/01
Facility/Infrastructure Attack,2001,11,3,11/01/01
Facility/Infrastructure Attack,2001,12,4,12/01/01
Facility/Infrastructure Attack,2002,1,4,01/01/02
Facility/Infrastructure Attack,2002,2,4,02/01/02
Facility/Infrastructure Attack,2002,3,1,03/01/02
Facility/Infrastructure Attack,2002,4,4,04/01/02
Facility/Infrastructure Attack,2002,5,13,05/01/02
Facility/Infrastructure Attack,2002,6,4,06/01/02
Facility/Infrastructure Attack,2002,7,1,07/01/02
Facility/Infrastructure Attack,2002,8,3,08/01/02
Facility/Infrastructure Attack,2002,9,3,09/01/02
Facility/Infrastructure Attack,2002,10,1,10/01/02
Facility/Infrastructure Attack,2002,11,9,11/01/02
Facility/Infrastructure Attack,2002,12,2,12/01/02
Facility/Infrastructure Attack,2003,1,13,01/01/03
Facility/Infrastructure Attack,2003,2,1,02/01/03
Facility/Infrastructure Attack,2003,3,28,03/01/03
Facility/Infrastructure Attack,2003,4,3,04/01/03
Facility/Infrastructure Attack,2003,5,9,05/01/03
Facility/Infrastructure Attack,2003,6,4,06/01/03
Facility/Infrastructure Attack,2003,7,5,07/01/03
Facility/Infrastructure Attack,2003,8,3,08/01/03
Facility/Infrastructure Attack,2003,9,7,09/01/03
Facility/Infrastructure Attack,2003,10,5,10/01/03
Facility/Infrastructure Attack,2003,11,4,11/01/03
Facility/Infrastructure Attack,2003,12,6,12/01/03
Facility/Infrastructure Attack,2004,2,2,02/01/04
Facility/Infrastructure Attack,2004,3,3,03/01/04
Facility/Infrastructure Attack,2004,4,6,04/01/04
Facility/Infrastructure Attack,2004,6,3,06/01/04
Facility/Infrastructure Attack,2004,7,2,07/01/04
Facility/Infrastructure Attack,2004,8,3,08/01/04
Facility/Infrastructure Attack,2004,9,10,09/01/04
Facility/Infrastructure Attack,2004,12,4,12/01/04
Facility/Infrastructure Attack,2005,1,8,01/01/05
Facility/Infrastructure Attack,2005,2,1,02/01/05
Facility/Infrastructure Attack,2005,3,4,03/01/05
Facility/Infrastructure Attack,2005,4,11,04/01/05
Facility/Infrastructure Attack,2005,5,2,05/01/05
Facility/Infrastructure Attack,2005,6,5,06/01/05
Facility/Infrastructure Attack,2005,7,8,07/01/05
Facility/Infrastructure Attack,2005,8,2,08/01/05
Facility/Infrastructure Attack,2005,9,3,09/01/05
Facility/Infrastructure Attack,2005,10,1,10/01/05
Facility/Infrastructure Attack,2005,12,5,12/01/05
Facility/Infrastructure Attack,2006,1,25,01/01/06
Facility/Infrastructure Attack,2006,2,13,02/01/06
Facility/Infrastructure Attack,2006,3,11,03/01/06
Facility/Infrastructure Attack,2006,4,25,04/01/06
Facility/Infrastructure Attack,2006,5,6,05/01/06
Facility/Infrastructure Attack,2006,6,2,06/01/06
Facility/Infrastructure Attack,2006,7,3,07/01/06
Facility/Infrastructure Attack,2006,8,4,08/01/06
Facility/Infrastructure Attack,2006,9,5,09/01/06
Facility/Infrastructure Attack,2006,10,2,10/01/06
Facility/Infrastructure Attack,2006,12,11,12/01/06
Facility/Infrastructure Attack,2007,1,3,01/01/07
Facility/Infrastructure Attack,2007,2,4,02/01/07
Facility/Infrastructure Attack,2007,3,10,03/01/07
Facility/Infrastructure Attack,2007,4,5,04/01/07
Facility/Infrastructure Attack,2007,5,5,05/01/07
Facility/Infrastructure Attack,2007,6,34,06/01/07
Facility/Infrastructure Attack,2007,7,6,07/01/07
Facility/Infrastructure Attack,2007,8,4,08/01/07
Facility/Infrastructure Attack,2007,9,4,09/01/07
Facility/Infrastructure Attack,2007,10,1,10/01/07
Facility/Infrastructure Attack,2007,11,37,11/01/07
Facility/Infrastructure Attack,2007,12,2,12/01/07
Facility/Infrastructure Attack,2008,1,7,01/01/08
Facility/Infrastructure Attack,2008,2,17,02/01/08
Facility/Infrastructure Attack,2008,3,11,03/01/08
Facility/Infrastructure Attack,2008,4,34,04/01/08
Facility/Infrastructure Attack,2008,5,36,05/01/08
Facility/Infrastructure Attack,2008,6,39,06/01/08
Facility/Infrastructure Attack,2008,7,24,07/01/08
Facility/Infrastructure Attack,2008,8,32,08/01/08
Facility/Infrastructure Attack,2008,9,25,09/01/08
Facility/Infrastructure Attack,2008,10,20,10/01/08
Facility/Infrastructure Attack,2008,11,22,11/01/08
Facility/Infrastructure Attack,2008,12,18,12/01/08
Facility/Infrastructure Attack,2009,1,30,01/01/09
Facility/Infrastructure Attack,2009,2,40,02/01/09
Facility/Infrastructure Attack,2009,3,35,03/01/09
Facility/Infrastructure Attack,2009,4,26,04/01/09
Facility/Infrastructure Attack,2009,5,36,05/01/09
Facility/Infrastructure Attack,2009,6,47,06/01/09
Facility/Infrastructure Attack,2009,7,37,07/01/09
Facility/Infrastructure Attack,2009,8,25,08/01/09
Facility/Infrastructure Attack,2009,9,14,09/01/09
Facility/Infrastructure Attack,2009,10,27,10/01/09
Facility/Infrastructure Attack,2009,11,13,11/01/09
Facility/Infrastructure Attack,2009,12,18,12/01/09
Facility/Infrastructure Attack,2010,1,19,01/01/10
Facility/Infrastructure Attack,2010,2,18,02/01/10
Facility/Infrastructure Attack,2010,3,38,03/01/10
Facility/Infrastructure Attack,2010,4,23,04/01/10
Facility/Infrastructure Attack,2010,5,45,05/01/10
Facility/Infrastructure Attack,2010,6,27,06/01/10
Facility/Infrastructure Attack,2010,7,15,07/01/10
Facility/Infrastructure Attack,2010,8,15,08/01/10
Facility/Infrastructure Attack,2010,9,38,09/01/10
Facility/Infrastructure Attack,2010,10,11,10/01/10
Facility/Infrastructure Attack,2010,11,20,11/01/10
Facility/Infrastructure Attack,2010,12,24,12/01/10
Facility/Infrastructure Attack,2011,1,17,01/01/11
Facility/Infrastructure Attack,2011,2,26,02/01/11
Facility/Infrastructure Attack,2011,3,18,03/01/11
Facility/Infrastructure Attack,2011,4,18,04/01/11
Facility/Infrastructure Attack,2011,5,36,05/01/11
Facility/Infrastructure Attack,2011,6,17,06/01/11
Facility/Infrastructure Attack,2011,7,19,07/01/11
Facility/Infrastructure Attack,2011,8,12,08/01/11
Facility/Infrastructure Attack,2011,9,11,09/01/11
Facility/Infrastructure Attack,2011,10,15,10/01/11
Facility/Infrastructure Attack,2011,11,33,11/01/11
Facility/Infrastructure Attack,2011,12,20,12/01/11
Facility/Infrastructure Attack,2012,1,22,01/01/12
Facility/Infrastructure Attack,2012,2,20,02/01/12
Facility/Infrastructure Attack,2012,3,28,03/01/12
Facility/Infrastructure Attack,2012,4,17,04/01/12
Facility/Infrastructure Attack,2012,5,16,05/01/12
Facility/Infrastructure Attack,2012,6,35,06/01/12
Facility/Infrastructure Attack,2012,7,24,07/01/12
Facility/Infrastructure Attack,2012,8,14,08/01/12
Facility/Infrastructure Attack,2012,9,50,09/01/12
Facility/Infrastructure Attack,2012,10,37,10/01/12
Facility/Infrastructure Attack,2012,11,24,11/01/12
Facility/Infrastructure Attack,2012,12,18,12/01/12
Facility/Infrastructure Attack,2013,1,68,01/01/13
Facility/Infrastructure Attack,2013,2,57,02/01/13
Facility/Infrastructure Attack,2013,3,48,03/01/13
Facility/Infrastructure Attack,2013,4,63,04/01/13
Facility/Infrastructure Attack,2013,5,48,05/01/13
Facility/Infrastructure Attack,2013,6,33,06/01/13
Facility/Infrastructure Attack,2013,7,31,07/01/13
Facility/Infrastructure Attack,2013,8,40,08/01/13
Facility/Infrastructure Attack,2013,9,30,09/01/13
Facility/Infrastructure Attack,2013,10,44,10/01/13
Facility/Infrastructure Attack,2013,11,43,11/01/13
Facility/Infrastructure Attack,2013,12,59,12/01/13
Facility/Infrastructure Attack,2014,1,86,01/01/14
Facility/Infrastructure Attack,2014,2,54,02/01/14
Facility/Infrastructure Attack,2014,3,49,03/01/14
Facility/Infrastructure Attack,2014,4,103,04/01/14
Facility/Infrastructure Attack,2014,5,53,05/01/14
Facility/Infrastructure Attack,2014,6,81,06/01/14
Facility/Infrastructure Attack,2014,7,50,07/01/14
Facility/Infrastructure Attack,2014,8,55,08/01/14
Facility/Infrastructure Attack,2014,9,80,09/01/14
Facility/Infrastructure Attack,2014,10,58,10/01/14
Facility/Infrastructure Attack,2014,11,70,11/01/14
Facility/Infrastructure Attack,2014,12,44,12/01/14
Facility/Infrastructure Attack,2015,1,94,01/01/15
Facility/Infrastructure Attack,2015,2,55,02/01/15
Facility/Infrastructure Attack,2015,3,41,03/01/15
Facility/Infrastructure Attack,2015,4,48,04/01/15
Facility/Infrastructure Attack,2015,5,45,05/01/15
Facility/Infrastructure Attack,2015,6,41,06/01/15
Facility/Infrastructure Attack,2015,7,42,07/01/15
Facility/Infrastructure Attack,2015,8,79,08/01/15
Facility/Infrastructure Attack,2015,9,69,09/01/15
Facility/Infrastructure Attack,2015,10,66,10/01/15
Facility/Infrastructure Attack,2015,11,60,11/01/15
Facility/Infrastructure Attack,2015,12,65,12/01/15
Facility/Infrastructure Attack,2016,1,99,01/01/16
Facility/Infrastructure Attack,2016,2,61,02/01/16
Facility/Infrastructure Attack,2016,3,42,03/01/16
Facility/Infrastructure Attack,2016,4,47,04/01/16
Facility/Infrastructure Attack,2016,5,36,05/01/16
Facility/Infrastructure Attack,2016,6,60,06/01/16
Facility/Infrastructure Attack,2016,7,57,07/01/16
Facility/Infrastructure Attack,2016,8,41,08/01/16
Facility/Infrastructure Attack,2016,9,56,09/01/16
Facility/Infrastructure Attack,2016,10,61,10/01/16
Facility/Infrastructure Attack,2016,11,101,11/01/16
Facility/Infrastructure Attack,2016,12,35,12/01/16
Facility/Infrastructure Attack,2017,1,44,01/01/17
Facility/Infrastructure Attack,2017,2,49,02/01/17
Facility/Infrastructure Attack,2017,3,81,03/01/17
Facility/Infrastructure Attack,2017,4,57,04/01/17
Facility/Infrastructure Attack,2017,5,91,05/01/17
Facility/Infrastructure Attack,2017,6,88,06/01/17
Facility/Infrastructure Attack,2017,7,103,07/01/17
Facility/Infrastructure Attack,2017,8,52,08/01/17
Facility/Infrastructure Attack,2017,9,54,09/01/17
Facility/Infrastructure Attack,2017,10,66,10/01/17
Facility/Infrastructure Attack,2017,11,29,11/01/17
Facility/Infrastructure Attack,2017,12,37,12/01/17
Hijacking,1997,1,1,01/01/97
Hijacking,1997,2,2,02/01/97
Hijacking,1997,3,1,03/01/97
Hijacking,1997,4,2,04/01/97
Hijacking,1997,6,5,06/01/97
Hijacking,1997,7,1,07/01/97
Hijacking,1997,9,1,09/01/97
Hijacking,1997,10,1,10/01/97
Hijacking,1997,11,1,11/01/97
Hijacking,1997,12,1,12/01/97
Hijacking,1998,8,2,08/01/98
Hijacking,1998,10,1,10/01/98
Hijacking,1999,3,3,03/01/99
Hijacking,1999,4,1,04/01/99
Hijacking,1999,10,1,10/01/99
Hijacking,1999,12,1,12/01/99
Hijacking,2000,1,1,01/01/00
Hijacking,2000,2,1,02/01/00
Hijacking,2000,9,4,09/01/00
Hijacking,2000,10,1,10/01/00
Hijacking,2001,1,3,01/01/01
Hijacking,2001,3,1,03/01/01
Hijacking,2001,4,1,04/01/01
Hijacking,2001,7,1,07/01/01
Hijacking,2001,8,4,08/01/01
Hijacking,2001,9,4,09/01/01
Hijacking,2002,1,1,01/01/02
Hijacking,2002,2,1,02/01/02
Hijacking,2002,5,1,05/01/02
Hijacking,2002,6,1,06/01/02
Hijacking,2002,9,1,09/01/02
Hijacking,2002,11,1,11/01/02
Hijacking,2003,2,3,02/01/03
Hijacking,2004,8,1,08/01/04
Hijacking,2005,2,1,02/01/05
Hijacking,2005,12,1,12/01/05
Hijacking,2006,2,1,02/01/06
Hijacking,2006,4,1,04/01/06
Hijacking,2006,12,1,12/01/06
Hijacking,2007,1,2,01/01/07
Hijacking,2007,3,1,03/01/07
Hijacking,2007,4,1,04/01/07
Hijacking,2007,5,2,05/01/07
Hijacking,2007,6,1,06/01/07
Hijacking,2008,3,1,03/01/08
Hijacking,2008,4,1,04/01/08
Hijacking,2008,5,2,05/01/08
Hijacking,2008,7,1,07/01/08
Hijacking,2008,8,4,08/01/08
Hijacking,2008,10,2,10/01/08
Hijacking,2008,11,5,11/01/08
Hijacking,2009,1,1,01/01/09
Hijacking,2009,2,1,02/01/09
Hijacking,2009,3,5,03/01/09
Hijacking,2009,4,3,04/01/09
Hijacking,2009,5,1,05/01/09
Hijacking,2009,6,2,06/01/09
Hijacking,2009,7,2,07/01/09
Hijacking,2009,9,1,09/01/09
Hijacking,2009,10,2,10/01/09
Hijacking,2009,11,3,11/01/09
Hijacking,2009,12,2,12/01/09
Hijacking,2010,2,1,02/01/10
Hijacking,2010,3,1,03/01/10
Hijacking,2010,4,2,04/01/10
Hijacking,2010,5,1,05/01/10
Hijacking,2010,7,5,07/01/10
Hijacking,2010,9,1,09/01/10
Hijacking,2010,11,1,11/01/10
Hijacking,2010,12,1,12/01/10
Hijacking,2011,1,2,01/01/11
Hijacking,2011,3,1,03/01/11
Hijacking,2011,5,1,05/01/11
Hijacking,2011,6,1,06/01/11
Hijacking,2011,7,1,07/01/11
Hijacking,2011,8,1,08/01/11
Hijacking,2011,11,1,11/01/11
Hijacking,2011,12,1,12/01/11
Hijacking,2012,1,1,01/01/12
Hijacking,2012,6,1,06/01/12
Hijacking,2012,8,1,08/01/12
Hijacking,2012,10,1,10/01/12
Hijacking,2012,11,1,11/01/12
Hijacking,2013,2,1,02/01/13
Hijacking,2013,3,1,03/01/13
Hijacking,2013,4,1,04/01/13
Hijacking,2013,5,3,05/01/13
Hijacking,2013,6,2,06/01/13
Hijacking,2013,7,1,07/01/13
Hijacking,2013,9,3,09/01/13
Hijacking,2013,11,3,11/01/13
Hijacking,2013,12,2,12/01/13
Hijacking,2014,1,2,01/01/14
Hijacking,2014,2,2,02/01/14
Hijacking,2014,3,6,03/01/14
Hijacking,2014,4,7,04/01/14
Hijacking,2014,5,3,05/01/14
Hijacking,2014,6,3,06/01/14
Hijacking,2014,7,10,07/01/14
Hijacking,2014,8,6,08/01/14
Hijacking,2014,9,4,09/01/14
Hijacking,2014,10,2,10/01/14
Hijacking,2014,11,4,11/01/14
Hijacking,2015,1,2,01/01/15
Hijacking,2015,2,1,02/01/15
Hijacking,2015,3,4,03/01/15
Hijacking,2015,4,4,04/01/15
Hijacking,2015,5,7,05/01/15
Hijacking,2015,6,5,06/01/15
Hijacking,2015,7,4,07/01/15
Hijacking,2015,8,3,08/01/15
Hijacking,2015,10,3,10/01/15
Hijacking,2015,11,3,11/01/15
Hijacking,2015,12,2,12/01/15
Hijacking,2016,1,4,01/01/16
Hijacking,2016,3,5,03/01/16
Hijacking,2016,4,5,04/01/16
Hijacking,2016,5,4,05/01/16
Hijacking,2016,6,3,06/01/16
Hijacking,2016,7,3,07/01/16
Hijacking,2016,8,3,08/01/16
Hijacking,2016,9,2,09/01/16
Hijacking,2016,10,3,10/01/16
Hijacking,2016,11,6,11/01/16
Hijacking,2016,12,5,12/01/16
Hijacking,2017,1,5,01/01/17
Hijacking,2017,2,7,02/01/17
Hijacking,2017,3,6,03/01/17
Hijacking,2017,4,3,04/01/17
Hijacking,2017,5,7,05/01/17
Hijacking,2017,6,3,06/01/17
Hijacking,2017,7,5,07/01/17
Hijacking,2017,8,8,08/01/17
Hijacking,2017,9,4,09/01/17
Hijacking,2017,10,5,10/01/17
Hijacking,2017,11,4,11/01/17
Hijacking,2017,12,1,12/01/17
Hostage Taking (Barricade),1997,8,1,08/01/97
Hostage Taking (Barricade),1997,9,2,09/01/97
Hostage Taking (Barricade),1999,2,3,02/01/99
Hostage Taking (Barricade),1999,8,1,08/01/99
Hostage Taking (Barricade),1999,10,1,10/01/99
Hostage Taking (Barricade),1999,11,1,11/01/99
Hostage Taking (Barricade),2000,6,1,06/01/00
Hostage Taking (Barricade),2000,9,1,09/01/00
Hostage Taking (Barricade),2001,4,1,04/01/01
Hostage Taking (Barricade),2001,6,1,06/01/01
Hostage Taking (Barricade),2001,8,1,08/01/01
Hostage Taking (Barricade),2001,11,1,11/01/01
Hostage Taking (Barricade),2002,4,1,04/01/02
Hostage Taking (Barricade),2002,5,1,05/01/02
Hostage Taking (Barricade),2002,8,1,08/01/02
Hostage Taking (Barricade),2002,10,1,10/01/02
Hostage Taking (Barricade),2003,3,1,03/01/03
Hostage Taking (Barricade),2003,4,1,04/01/03
Hostage Taking (Barricade),2004,3,1,03/01/04
Hostage Taking (Barricade),2004,5,1,05/01/04
Hostage Taking (Barricade),2004,9,1,09/01/04
Hostage Taking (Barricade),2006,1,1,01/01/06
Hostage Taking (Barricade),2006,4,4,04/01/06
Hostage Taking (Barricade),2006,11,1,11/01/06
Hostage Taking (Barricade),2006,12,1,12/01/06
Hostage Taking (Barricade),2007,6,1,06/01/07
Hostage Taking (Barricade),2007,11,5,11/01/07
Hostage Taking (Barricade),2008,1,1,01/01/08
Hostage Taking (Barricade),2008,10,1,10/01/08
Hostage Taking (Barricade),2008,11,3,11/01/08
Hostage Taking (Barricade),2009,1,2,01/01/09
Hostage Taking (Barricade),2009,2,1,02/01/09
Hostage Taking (Barricade),2009,6,1,06/01/09
Hostage Taking (Barricade),2010,3,1,03/01/10
Hostage Taking (Barricade),2010,5,3,05/01/10
Hostage Taking (Barricade),2010,9,1,09/01/10
Hostage Taking (Barricade),2010,10,3,10/01/10
Hostage Taking (Barricade),2011,5,1,05/01/11
Hostage Taking (Barricade),2011,11,1,11/01/11
Hostage Taking (Barricade),2012,2,3,02/01/12
Hostage Taking (Barricade),2012,4,1,04/01/12
Hostage Taking (Barricade),2012,5,1,05/01/12
Hostage Taking (Barricade),2012,6,3,06/01/12
Hostage Taking (Barricade),2012,7,5,07/01/12
Hostage Taking (Barricade),2012,8,3,08/01/12
Hostage Taking (Barricade),2012,9,2,09/01/12
Hostage Taking (Barricade),2013,1,1,01/01/13
Hostage Taking (Barricade),2013,2,1,02/01/13
Hostage Taking (Barricade),2013,4,2,04/01/13
Hostage Taking (Barricade),2013,5,6,05/01/13
Hostage Taking (Barricade),2013,6,2,06/01/13
Hostage Taking (Barricade),2013,7,1,07/01/13
Hostage Taking (Barricade),2013,9,2,09/01/13
Hostage Taking (Barricade),2013,10,4,10/01/13
Hostage Taking (Barricade),2013,11,1,11/01/13
Hostage Taking (Barricade),2013,12,6,12/01/13
Hostage Taking (Barricade),2014,1,6,01/01/14
Hostage Taking (Barricade),2014,2,1,02/01/14
Hostage Taking (Barricade),2014,3,5,03/01/14
Hostage Taking (Barricade),2014,4,8,04/01/14
Hostage Taking (Barricade),2014,5,2,05/01/14
Hostage Taking (Barricade),2014,6,7,06/01/14
Hostage Taking (Barricade),2014,7,2,07/01/14
Hostage Taking (Barricade),2014,8,2,08/01/14
Hostage Taking (Barricade),2014,9,3,09/01/14
Hostage Taking (Barricade),2014,10,3,10/01/14
Hostage Taking (Barricade),2014,11,1,11/01/14
Hostage Taking (Barricade),2014,12,6,12/01/14
Hostage Taking (Barricade),2015,1,12,01/01/15
Hostage Taking (Barricade),2015,2,4,02/01/15
Hostage Taking (Barricade),2015,3,8,03/01/15
Hostage Taking (Barricade),2015,4,7,04/01/15
Hostage Taking (Barricade),2015,5,7,05/01/15
Hostage Taking (Barricade),2015,6,7,06/01/15
Hostage Taking (Barricade),2015,7,7,07/01/15
Hostage Taking (Barricade),2015,8,11,08/01/15
Hostage Taking (Barricade),2015,9,4,09/01/15
Hostage Taking (Barricade),2015,10,3,10/01/15
Hostage Taking (Barricade),2015,11,9,11/01/15
Hostage Taking (Barricade),2015,12,3,12/01/15
Hostage Taking (Barricade),2016,1,7,01/01/16
Hostage Taking (Barricade),2016,2,3,02/01/16
Hostage Taking (Barricade),2016,3,2,03/01/16
Hostage Taking (Barricade),2016,4,2,04/01/16
Hostage Taking (Barricade),2016,5,4,05/01/16
Hostage Taking (Barricade),2016,6,7,06/01/16
Hostage Taking (Barricade),2016,7,10,07/01/16
Hostage Taking (Barricade),2016,8,6,08/01/16
Hostage Taking (Barricade),2016,9,2,09/01/16
Hostage Taking (Barricade),2016,10,5,10/01/16
Hostage Taking (Barricade),2016,11,8,11/01/16
Hostage Taking (Barricade),2016,12,5,12/01/16
Hostage Taking (Barricade),2017,1,6,01/01/17
Hostage Taking (Barricade),2017,2,8,02/01/17
Hostage Taking (Barricade),2017,3,9,03/01/17
Hostage Taking (Barricade),2017,4,2,04/01/17
Hostage Taking (Barricade),2017,5,12,05/01/17
Hostage Taking (Barricade),2017,6,8,06/01/17
Hostage Taking (Barricade),2017,7,9,07/01/17
Hostage Taking (Barricade),2017,8,6,08/01/17
Hostage Taking (Barricade),2017,9,7,09/01/17
Hostage Taking (Barricade),2017,10,6,10/01/17
Hostage Taking (Barricade),2017,11,5,11/01/17
Hostage Taking (Barricade),2017,12,4,12/01/17
Hostage Taking (Kidnapping),1997,1,14,01/01/97
Hostage Taking (Kidnapping),1997,2,20,02/01/97
Hostage Taking (Kidnapping),1997,3,31,03/01/97
Hostage Taking (Kidnapping),1997,4,7,04/01/97
Hostage Taking (Kidnapping),1997,5,21,05/01/97
Hostage Taking (Kidnapping),1997,6,32,06/01/97
Hostage Taking (Kidnapping),1997,7,34,07/01/97
Hostage Taking (Kidnapping),1997,8,59,08/01/97
Hostage Taking (Kidnapping),1997,9,21,09/01/97
Hostage Taking (Kidnapping),1997,10,17,10/01/97
Hostage Taking (Kidnapping),1997,11,19,11/01/97
Hostage Taking (Kidnapping),1997,12,24,12/01/97
Hostage Taking (Kidnapping),1998,2,4,02/01/98
Hostage Taking (Kidnapping),1998,3,3,03/01/98
Hostage Taking (Kidnapping),1998,4,2,04/01/98
Hostage Taking (Kidnapping),1998,5,3,05/01/98
Hostage Taking (Kidnapping),1998,6,1,06/01/98
Hostage Taking (Kidnapping),1998,7,4,07/01/98
Hostage Taking (Kidnapping),1998,8,9,08/01/98
Hostage Taking (Kidnapping),1998,9,4,09/01/98
Hostage Taking (Kidnapping),1998,10,7,10/01/98
Hostage Taking (Kidnapping),1998,11,3,11/01/98
Hostage Taking (Kidnapping),1998,12,3,12/01/98
