Attack Type,Year,Month,Amount,Date
Armed Assault,2008,8,100,08/01/08
Armed Assault,2008,9,61,09/01/08
Armed Assault,2008,10,87,10/01/08
Armed Assault,2008,11,85,11/01/08
Armed Assault,2008,12,123,12/01/08
Armed Assault,2009,1,100,01/01/09
Armed Assault,2009,2,70,02/01/09
Armed Assault,2009,3,106,03/01/09
Armed Assault,2009,4,103,04/01/09
Armed Assault,2009,5,93,05/01/09
Armed Assault,2009,6,94,06/01/09
Armed Assault,2009,7,106,07/01/09
Armed Assault,2009,8,98,08/01/09
Armed Assault,2009,9,89,09/01/09
Armed Assault,2009,10,106,10/01/09
Armed Assault,2009,11,95,11/01/09
Armed Assault,2009,12,55,12/01/09
Armed Assault,2010,1,69,01/01/10
Armed Assault,2010,2,115,02/01/10
Armed Assault,2010,3,74,03/01/10
Armed Assault,2010,4,43,04/01/10
Armed Assault,2010,5,107,05/01/10
Armed Assault,2010,6,78,06/01/10
Armed Assault,2010,7,94,07/01/10
Armed Assault,2010,8,96,08/01/10
Armed Assault,2010,9,137,09/01/10
Armed Assault,2010,10,108,10/01/10
Armed Assault,2010,11,102,11/01/10
Armed Assault,2011,1,106,01/01/11
Armed Assault,2011,2,105,02/01/11
Armed Assault,2011,3,153,03/01/11
Armed Assault,2011,4,128,04/01/11
Armed Assault,2011,5,130,05/01/11
Armed Assault,2011,6,118,06/01/11
Armed Assault,2011,7,120,07/01/11
Armed Assault,2011,8,84,08/01/11
Armed Assault,2011,9,108,09/01/11
Armed Assault,2011,10,131,10/01/11
Armed Assault,2011,11,140,11/01/11
Armed Assault,2011,12,72,12/01/11
Armed Assault,2012,1,184,01/01/12
Armed Assault,2012,2,128,02/01/12
Armed Assault,2012,3,154,03/01/12
Armed Assault,2012,4,163,04/01/12
Armed Assault,2012,5,187,05/01/12
Armed Assault,2012,6,183,06/01/12
Armed Assault,2012,7,182,07/01/12
Armed Assault,2012,8,243,08/01/12
Armed Assault,2012,9,144,09/01/12
Armed Assault,2012,10,207,10/01/12
Armed Assault,2012,11,135,11/01/12
Armed Assault,2012,12,175,12/01/12
Armed Assault,2013,1,187,01/01/13
Armed Assault,2013,2,169,02/01/13
Armed Assault,2013,3,225,03/01/13
Armed Assault,2013,4,226,04/01/13
Armed Assault,2013,5,244,05/01/13
Armed Assault,2013,6,212,06/01/13
Armed Assault,2013,7,331,07/01/13
Armed Assault,2013,8,277,08/01/13
Armed Assault,2013,9,249,09/01/13
Armed Assault,2013,10,247,10/01/13
Armed Assault,2013,11,307,11/01/13
Armed Assault,2013,12,288,12/01/13
Armed Assault,2014,1,354,01/01/14
Armed Assault,2014,2,340,02/01/14
Armed Assault,2014,3,363,03/01/14
Armed Assault,2014,4,330,04/01/14
Armed Assault,2014,5,416,05/01/14
Armed Assault,2014,6,384,06/01/14
Armed Assault,2014,7,444,07/01/14
Armed Assault,2014,8,322,08/01/14
Armed Assault,2014,9,297,09/01/14
Armed Assault,2014,10,301,10/01/14
Armed Assault,2014,11,260,11/01/14
Armed Assault,2014,12,260,12/01/14
Armed Assault,2015,1,286,01/01/15
Armed Assault,2015,2,254,02/01/15
Armed Assault,2015,3,256,03/01/15
Armed Assault,2015,4,304,04/01/15
Armed Assault,2015,5,328,05/01/15
Armed Assault,2015,6,258,06/01/15
Armed Assault,2015,7,302,07/01/15
Armed Assault,2015,8,281,08/01/15
Armed Assault,2015,9,286,09/01/15
Armed Assault,2015,10,304,10/01/15
Armed Assault,2015,11,288,11/01/15
Armed Assault,2015,12,221,12/01/15
Armed Assault,2016,1,236,01/01/16
Armed Assault,2016,2,242,02/01/16
Armed Assault,2016,3,269,03/01/16
Armed Assault,2016,4,204,04/01/16
Armed Assault,2016,5,226,05/01/16
Armed Assault,2016,6,268,06/01/16
Armed Assault,2016,7,231,07/01/16
Armed Assault,2016,8,246,08/01/16
Armed Assault,2016,9,182,09/01/16
Armed Assault,2016,10,247,10/01/16
Armed Assault,2016,11,203,11/01/16
Armed Assault,2016,12,179,12/01/16
Armed Assault,2017,1,215,01/01/17
Armed Assault,2017,2,160,02/01/17
Armed Assault,2017,3,194,03/01/17
Armed Assault,2017,4,198,04/01/17
Armed Assault,2017,5,212,05/01/17
Armed Assault,2017,6,237,06/01/17
Armed Assault,2017,7,215,07/01/17
Armed Assault,2017,8,214,08/01/17
Armed Assault,2017,9,161,09/01/17
Armed Assault,2017,10,206,10/01/17
Armed Assault,2017,11,182,11/01/17
Armed Assault,2017,12,171,12/01/17
Assassination,1997,1,22,01/01/97
Assassination,1997,2,36,02/01/97
Assassination,1997,3,26,03/01/97
Assassination,1997,4,29,04/01/97
Assassination,1997,5,22,05/01/97
Assassination,1997,6,78,06/01/97
Assassination,1997,7,37,07/01/97
Assassination,1997,8,51,08/01/97
Assassination,1997,9,24,09/01/97
Assassination,1997,10,32,10/01/97
Assassination,1997,11,36,11/01/97
Assassination,1997,12,27,12/01/97
Assassination,1998,1,1,01/01/98
Assassination,1998,2,2,02/01/98
Assassination,1998,4,1,04/01/98
Assassination,1998,5,5,05/01/98
Assassination,1998,7,3,07/01/98
Assassination,1998,8,1,08/01/98
Assassination,1998,9,4,09/01/98
Assassination,1998,10,4,10/01/98
Assassination,1998,11,2,11/01/98
Assassination,1998,12,1,12/01/98
Assassination,1999,1,4,01/01/99
Assassination,1999,2,1,02/01/99
Assassination,1999,3,4,03/01/99
Assassination,1999,4,9,04/01/99
Assassination,1999,5,7,05/01/99
Assassination,1999,6,6,06/01/99
Assassination,1999,7,3,07/01/99
Assassination,1999,9,7,09/01/99
Assassination,1999,10,7,10/01/99
Assassination,1999,11,11,11/01/99
Assassination,1999,12,2,12/01/99
Assassination,2000,1,6,01/01/00
Assassination,2000,2,5,02/01/00
Assassination,2000,3,7,03/01/00
Assassination,2000,4,6,04/01/00
Assassination,2000,5,14,05/01/00
Assassination,2000,6,12,06/01/00
Assassination,2000,7,11,07/01/00
Assassination,2000,8,4,08/01/00
Assassination,2000,9,9,09/01/00
Assassination,2000,10,9,10/01/00
Assassination,2000,11,11,11/01/00
Assassination,2000,12,9,12/01/00
Assassination,2001,1,11,01/01/01
Assassination,2001,2,15,02/01/01
Assassination,2001,3,11,03/01/01
Assassination,2001,4,8,04/01/01
Assassination,2001,5,7,05/01/01
Assassination,2001,6,7,06/01/01
Assassination,2001,7,7,07/01/01
Assassination,2001,8,28,08/01/01
Assassination,2001,9,10,09/01/01
Assassination,2001,10,7,10/01/01
Assassination,2001,11,8,11/01/01
Assassination,2001,12,8,12/01/01
Assassination,2002,1,7,01/01/02
Assassination,2002,2,4,02/01/02
Assassination,2002,3,5,03/01/02
Assassination,2002,4,3,04/01/02
Assassination,2002,5,8,05/01/02
Assassination,2002,6,11,06/01/02
Assassination,2002,7,5,07/01/02
Assassination,2002,8,7,08/01/02
Assassination,2002,9,9,09/01/02
Assassination,2002,10,6,10/01/02
Assassination,2002,11,3,11/01/02
Assassination,2002,12,5,12/01/02
Assassination,2003,1,34,01/01/03
Assassination,2003,2,11,02/01/03
Assassination,2003,3,2,03/01/03
Assassination,2003,4,3,04/01/03
Assassination,2003,5,4,05/01/03
Assassination,2003,6,6,06/01/03
Assassination,2003,7,7,07/01/03
Assassination,2003,8,3,08/01/03
Assassination,2003,9,1,09/01/03
Assassination,2003,10,6,10/01/03
Assassination,2003,11,5,11/01/03
Assassination,2003,12,6,12/01/03
Assassination,2004,1,4,01/01/04
Assassination,2004,2,2,02/01/04
Assassination,2004,3,18,03/01/04
Assassination,2004,4,6,04/01/04
Assassination,2004,5,5,05/01/04
Assassination,2004,6,5,06/01/04
Assassination,2004,7,23,07/01/04
Assassination,2004,8,10,08/01/04
Assassination,2004,9,7,09/01/04
Assassination,2004,10,10,10/01/04
Assassination,2004,11,12,11/01/04
Assassination,2004,12,2,12/01/04
Assassination,2005,1,21,01/01/05
Assassination,2005,2,6,02/01/05
Assassination,2005,3,32,03/01/05
Assassination,2005,4,28,04/01/05
Assassination,2005,5,36,05/01/05
Assassination,2005,6,8,06/01/05
Assassination,2005,7,23,07/01/05
Assassination,2005,8,33,08/01/05
Assassination,2005,9,8,09/01/05
Assassination,2005,10,20,10/01/05
Assassination,2005,11,4,11/01/05
Assassination,2005,12,6,12/01/05
Assassination,2006,1,37,01/01/06
Assassination,2006,2,6,02/01/06
Assassination,2006,3,4,03/01/06
Assassination,2006,4,26,04/01/06
Assassination,2006,5,7,05/01/06
Assassination,2006,6,2,06/01/06
Assassination,2006,7,10,07/01/06
Assassination,2006,8,9,08/01/06
Assassination,2006,9,8,09/01/06
Assassination,2006,10,10,10/01/06
Assassination,2006,11,19,11/01/06
Assassination,2006,12,2,12/01/06
Assassination,2007,1,3,01/01/07
Assassination,2007,2,2,02/01/07
Assassination,2007,3,7,03/01/07
Assassination,2007,4,9,04/01/07
Assassination,2007,5,9,05/01/07
Assassination,2007,6,27,06/01/07
Assassination,2007,7,22,07/01/07
Assassination,2007,8,7,08/01/07
Assassination,2007,9,12,09/01/07
Assassination,2007,10,10,10/01/07
Assassination,2007,11,24,11/01/07
Assassination,2007,12,8,12/01/07
Assassination,2008,1,10,01/01/08
Assassination,2008,2,11,02/01/08
Assassination,2008,3,14,03/01/08
Assassination,2008,4,35,04/01/08
Assassination,2008,5,28,05/01/08
Assassination,2008,6,23,06/01/08
Assassination,2008,7,16,07/01/08
Assassination,2008,8,10,08/01/08
Assassination,2008,9,7,09/01/08
Assassination,2008,10,11,10/01/08
Assassination,2008,11,42,11/01/08
Assassination,2008,12,12,12/01/08
Assassination,2009,1,26,01/01/09
Assassination,2009,2,5,02/01/09
Assassination,2009,3,4,03/01/09
Assassination,2009,4,29,04/01/09
Assassination,2009,5,11,05/01/09
Assassination,2009,6,23,06/01/09
Assassination,2009,7,30,07/01/09
Assassination,2009,8,20,08/01/09
Assassination,2009,9,23,09/01/09
Assassination,2009,10,17,10/01/09
Assassination,2009,11,22,11/01/09
Assassination,2009,12,18,12/01/09
Assassination,2010,1,19,01/01/10
Assassination,2010,2,27,02/01/10
Assassination,2010,3,18,03/01/10
Assassination,2010,4,29,04/01/10
Assassination,2010,5,28,05/01/10
Assassination,2010,6,29,06/01/10
Assassination,2010,7,38,07/01/10
Assassination,2010,8,45,08/01/10
Assassination,2010,9,34,09/01/10
Assassination,2010,10,28,10/01/10
Assassination,2010,11,37,11/01/10
Assassination,2010,12,28,12/01/10
Assassination,2011,1,39,01/01/11
Assassination,2011,2,28,02/01/11
Assassination,2011,3,25,03/01/11
Assassination,2011,4,30,04/01/11
Assassination,2011,5,33,05/01/11
Assassination,2011,6,37,06/01/11
Assassination,2011,7,24,07/01/11
Assassination,2011,8,19,08/01/11
Assassination,2011,9,26,09/01/11
Assassination,2011,10,26,10/01/11
Assassination,2011,11,33,11/01/11
Assassination,2011,12,22,12/01/11
Assassination,2012,1,35,01/01/12
Assassination,2012,2,34,02/01/12
Assassination,2012,3,36,03/01/12
Assassination,2012,4,39,04/01/12
Assassination,2012,5,30,05/01/12
Assassination,2012,6,42,06/01/12
Assassination,2012,7,58,07/01/12
Assassination,2012,8,47,08/01/12
Assassination,2012,9,43,09/01/12
Assassination,2012,10,23,10/01/12
Assassination,2012,11,52,11/01/12
Assassination,2012,12,22,12/01/12
Assassination,2013,1,65,01/01/13
Assassination,2013,2,40,02/01/13
Assassination,2013,3,42,03/01/13
Assassination,2013,4,88,04/01/13
Assassination,2013,5,96,05/01/13
Assassination,2013,6,64,06/01/13
Assassination,2013,7,55,07/01/13
Assassination,2013,8,75,08/01/13
Assassination,2013,9,86,09/01/13
Assassination,2013,10,75,10/01/13
Assassination,2013,11,78,11/01/13
Assassination,2013,12,89,12/01/13
Assassination,2014,1,90,01/01/14
Assassination,2014,2,89,02/01/14
Assassination,2014,3,111,03/01/14
Assassination,2014,4,89,04/01/14
Assassination,2014,5,89,05/01/14
Assassination,2014,6,66,06/01/14
Assassination,2014,7,77,07/01/14
Assassination,2014,8,72,08/01/14
Assassination,2014,9,58,09/01/14
Assassination,2014,10,71,10/01/14
Assassination,2014,11,50,11/01/14
Assassination,2014,12,58,12/01/14
Assassination,2015,1,114,01/01/15
Assassination,2015,2,79,02/01/15
Assassination,2015,3,80,03/01/15
Assassination,2015,4,73,04/01/15
Assassination,2015,5,107,05/01/15
Assassination,2015,6,101,06/01/15
Assassination,2015,7,73,07/01/15
Assassination,2015,8,90,08/01/15
Assassination,2015,9,33,09/01/15
Assassination,2015,10,75,10/01/15
Assassination,2015,11,43,11/01/15
Assassination,2015,12,59,12/01/15
Assassination,2016,1,50,01/01/16
Assassination,2016,2,65,02/01/16
Assassination,2016,3,59,03/01/16
Assassination,2016,4,75,04/01/16
Assassination,2016,5,79,05/01/16
Assassination,2016,6,80,06/01/16
Assassination,2016,7,71,07/01/16
Assassination,2016,8,70,08/01/16
Assassination,2016,9,55,09/01/16
Assassination,2016,10,68,10/01/16
Assassination,2016,11,74,11/01/16
Assassination,2016,12,75,12/01/16
Assassination,2017,1,54,01/01/17
Assassination,2017,2,70,02/01/17
Assassination,2017,3,76,03/01/17
Assassination,2017,4,46,04/01/17
Assassination,2017,5,78,05/01/17
Assassination,2017,6,81,06/01/17
Assassination,2017,7,64,07/01/17
Assassination,2017,8,56,08/01/17
Assassination,2017,9,74,09/01/17
Assassination,2017,10,68,10/01/17
Assassination,2017,11,78,11/01/17
Assassination,2017,12,71,12/01/17
Bombing/Explosion,1997,1,111,01/01/97
Bombing/Explosion,1997,2,127,02/01/97
Bombing/Explosion,1997,3,101,03/01/97
Bombing/Explosion,1997,4,91,04/01/97
Bombing/Explosion,1997,5,63,05/01/97
Bombing/Explosion,1997,6,91,06/01/97
Bombing/Explosion,1997,7,120,07/01/97
Bombing/Explosion,1997,8,93,08/01/97
Bombing/Explosion,1997,9,97,09/01/97
Bombing/Explosion,1997,10,98,10/01/97
Bombing/Explosion,1997,11,60,11/01/97
Bombing/Explosion,1997,12,71,12/01/97
Bombing/Explosion,1998,1,45,01/01/98
Bombing/Explosion,1998,2,62,02/01/98
Bombing/Explosion,1998,3,42,03/01/98
Bombing/Explosion,1998,4,38,04/01/98
Bombing/Explosion,1998,5,32,05/01/98
Bombing/Explosion,1998,6,29,06/01/98
Bombing/Explosion,1998,7,47,07/01/98
Bombing/Explosion,1998,8,57,08/01/98
Bombing/Explosion,1998,9,28,09/01/98
Bombing/Explosion,1998,10,56,10/01/98
Bombing/Explosion,1998,11,49,11/01/98
Bombing/Explosion,1998,12,19,12/01/98
Bombing/Explosion,1999,1,29,01/01/99
Bombing/Explosion,1999,2,32,02/01/99
Bombing/Explosion,1999,3,107,03/01/99
Bombing/Explosion,1999,4,48,04/01/99
Bombing/Explosion,1999,5,44,05/01/99
Bombing/Explosion,1999,6,69,06/01/99
Bombing/Explosion,1999,7,55,07/01/99
Bombing/Explosion,1999,8,64,08/01/99
Bombing/Explosion,1999,9,38,09/01/99
Bombing/Explosion,1999,10,66,10/01/99
Bombing/Explosion,1999,11,61,11/01/99
Bombing/Explosion,1999,12,39,12/01/99
Bombing/Explosion,2000,1,81,01/01/00
Bombing/Explosion,2000,2,57,02/01/00
Bombing/Explosion,2000,3,39,03/01/00
Bombing/Explosion,2000,4,62,04/01/00
Bombing/Explosion,2000,5,70,05/01/00
Bombing/Explosion,2000,6,78,06/01/00
Bombing/Explosion,2000,7,70,07/01/00
Bombing/Explosion,2000,8,74,08/01/00
Bombing/Explosion,2000,9,112,09/01/00
Bombing/Explosion,2000,10,76,10/01/00
Bombing/Explosion,2000,11,89,11/01/00
Bombing/Explosion,2000,12,96,12/01/00
Bombing/Explosion,2001,1,77,01/01/01
Bombing/Explosion,2001,2,57,02/01/01
Bombing/Explosion,2001,3,75,03/01/01
Bombing/Explosion,2001,4,63,04/01/01
Bombing/Explosion,2001,5,50,05/01/01
Bombing/Explosion,2001,6,33,06/01/01
Bombing/Explosion,2001,7,32,07/01/01
Bombing/Explosion,2001,8,225,08/01/01
Bombing/Explosion,2001,9,53,09/01/01
Bombing/Explosion,2001,10,39,10/01/01
Bombing/Explosion,2001,11,47,11/01/01
Bombing/Explosion,2001,12,49,12/01/01
Bombing/Explosion,2002,1,74,01/01/02
Bombing/Explosion,2002,2,70,02/01/02
Bombing/Explosion,2002,3,42,03/01/02
Bombing/Explosion,2002,4,54,04/01/02
Bombing/Explosion,2002,5,108,05/01/02
Bombing/Explosion,2002,6,51,06/01/02
Bombing/Explosion,2002,7,48,07/01/02
Bombing/Explosion,2002,8,75,08/01/02
Bombing/Explosion,2002,9,30,09/01/02
Bombing/Explosion,2002,10,61,10/01/02
Bombing/Explosion,2002,11,72,11/01/02
Bombing/Explosion,2002,12,35,12/01/02
